Mall Name,latitude,longitude
100 AM,1.274588218,103.8434707
313@Somerset,1.301006569,103.8382466
Aperia,1.30974242,103.8641016
Balestier Hill Shopping Centre,1.326124169,103.8437095
Bugis Cube,1.298195005,103.8556555
Bugis Junction,1.300117893,103.8561916
Bugis+,1.299507613,103.8543709
Capitol Piazza,1.293063359,103.8512935
Cathay Cineleisure Orchard,1.301497434,103.8364448
Clarke Quay Central,1.288862916,103.846556
The Centrepoint,1.301978369,103.839759
City Square Mall,1.31147745,103.8567808
City Gate Mall,1.302347543,103.86226
CityLink Mall,1.292378607,103.854663
Duo,1.299216621,103.8579968
Far East Plaza,1.307311126,103.83394
Funan,1.291244006,103.8499848
Great World City,1.293154929,103.831928
HDB Hub,1.33218812,103.8470778
Holland Village Shopping Mall,1.310255419,103.7953504
ION Orchard,1.304042534,103.8318883
Junction 8,1.350172433,103.8484301
Knightsbridge,1.302983123,103.8362839
Liang Court,1.290658604,103.8445472
Liat Towers,1.30510759,103.8307279
Lucky Plaza,1.30446379,103.8340052
Marina Bay Sands,1.283994101,103.8594506
The Shoppes at Marina Bay Sands,1.284234913,103.8589822
Marina Bay Financial Centre Tower 3,1.279124938,103.8544576
Marina Bay Link Mall,1.280467943,103.8534701
Marina One,1.27704169,103.8534019
Marina Square,1.291117292,103.8577583
Millenia Walk,1.292046053,103.8599002
Mustafa Shopping Centre,1.310080853,103.8552998
Ngee Ann City,1.302424172,103.8346761
Orchard Central,1.300723504,103.8396924
Orchard Gateway,1.300443253,103.8394428
Orchard Plaza,1.30126533,103.8411518
Midpoint Orchard,1.301783782,103.8386606
Orchard Shopping Centre,1.301484998,103.8378883
Palais Renaissance,1.306654845,103.829588
People's Park Centre,1.285757742,103.8439298
People's Park Complex,1.284128626,103.8425848
Plaza Singapura,1.300820718,103.8450673
PoMo,1.300046856,103.8492464
Raffles City,1.294083047,103.8533395
Scotts Square,1.305762924,103.8330834
Serangoon Plaza,1.310780752,103.8551468
Shaw House and Centre,1.305730607,103.8315319
Sim Lim Square,1.303022985,103.8528756
Singapore Shopping Centre,1.298132148,103.8441384
The South Beach,1.294988044,103.8562762
Square 2,1.320612586,103.8443315
Suntec City,1.295466756,103.858585
Tanglin Mall,1.304853421,103.8238835
Tangs,1.304950056,103.8329711
Tanjong Pagar Centre,1.276609528,103.8461808
Tekka Centre,1.30617773,103.85061
The Paragon,1.303949364,103.8358442
Tiong Bahru Plaza,1.2864712,103.8271583
The Poiz ,1.331450866,103.8683717
Thomson Plaza,1.354325242,103.8303281
United Square,1.317511714,103.8436288
Velocity,1.319789492,103.8440336
Wheelock Place,1.30453636,103.8307142
Wisma Atria,1.303698907,103.8331896
Zhongshan Mall,1.326945045,103.8465544
White Sands,1.372398981,103.9497492
Downtown East,1.377775842,103.9547736
Century Square,1.352361131,103.9437848
Tampines 1,1.354323212,103.9451412
Tampines Mall,1.352580252,103.9446962
Our Tampines Hub,1.353101202,103.9408486
Changi Airport,1.357220256,103.9873046
Changi City Point,1.334036379,103.9629176
Djitsun Mall Bedok,1.326053199,103.9296046
Eastpoint Mall,1.342586441,103.9530723
White Sands,1.372398981,103.9497492
Downtown East,1.377775842,103.9547736
Century Square,1.352361131,103.9437848
Tampines 1,1.354323212,103.9451412
Tampines Mall,1.352580252,103.9446962
Our Tampines Hub,1.353101202,103.9408486
Changi Airport,1.357220256,103.9873046
Changi City Point,1.334036379,103.9629176
Djitsun Mall Bedok,1.326053199,103.9296046
Eastpoint Mall,1.342586441,103.9530723
Bedok Mall,1.324668974,103.9294055
Bedok Point,1.324801026,103.932384
Paya Lebar Square,1.318675756,103.8925506
Singapore Post Centre (Singpost Centre),1.318871844,103.8947671
PLQ Mall,1.317482311,103.8928322
KINEX (formerly One KM Mall),1.314618499,103.894738
Katong Shopping Centre,1.303820402,103.90104
Roxy Square,1.304333084,103.9040603
112 Katong,1.305086818,103.9050989
Parkway Parade,1.301080033,103.9052818
City Plaza,1.314805223,103.8934183
Katong Square,1.304853371,103.9045742
Katong V,1.303850304,103.9028504
Kallang Wave Mall,1.303843272,103.8727507
Leisure Park Kallang,1.302337453,103.8764492
East Village,1.331778949,103.9462367
Elias Mall,1.378570261,103.9419891
Loyang Point,1.36645364,103.9645985
The Flow,1.30455858,103.9042117
Jewel Changi Airport,1.360331745,103.9896703
888 Plaza,1.437130524,103.7952899
Admiralty Place,1.439880955,103.801791
AMK Hub,1.369389227,103.848478
Canberra Plaza,1.443245232,103.8305235
Causeway Point,1.436088677,103.78601
Broadway Plaza,1.371936464,103.8459738
Djitsun Mall,1.326053199,103.9296046
Jubilee Square,1.371785519,103.8477757
Junction 9,1.433031982,103.8416008
Marsiling Mall,1.433512535,103.7797469
Northpoint City,1.428113577,103.8360631
Sembawang Shopping Centre,1.441853253,103.8248324
Sun Plaza,1.448226538,103.8194621
Wisteria Mall,1.417999263,103.8412365
Woodlands Mart,1.44564787,103.7981623
Waterway Point,1.406426163,103.9022381
Compass One,1.392094156,103.89498
Hougang Mall,1.372436783,103.8937239
Heartland Mall,1.359544509,103.8851691
NEX,1.350675521,103.8718616
Greenwich V,1.387603302,103.8694236
Hougang 1,1.375667283,103.8794503
Hougang Green Shopping Mall,1.379317835,103.8878471
myVillage @ Serangoon,1.365160713,103.8650419
Oasis Terraces,1.402634601,103.9132706
Punggol Plaza,1.394184094,103.9129764
Rivervale Mall,1.392217327,103.9044731
Rivervale Plaza,1.385371516,103.9018496
The Seletar Mall,1.391393061,103.8760677
Buangkok Square,1.384334266,103.8816231
The Midtown,1.37047941,103.8951285
Upper Serangoon Shopping Centre,1.353480883,103.8788284
Beauty World Centre,1.342412642,103.7765394
Beauty World Plaza,1.341787998,103.7763041
Bukit Panjang Plaza,1.379916507,103.7643171
Bukit Timah Plaza,1.338631653,103.7785854
Fajar Shopping Centre,1.384005825,103.7710296
Greenridge Shopping Centre,1.385417687,103.7662355
Hillion Mall,1.378498681,103.7630229
HillV2,1.363550958,103.7642361
Junction 10,1.380605125,103.7600416
Limbang Shopping Centre,1.392242406,103.743191
Lot One,1.385069923,103.7452389
Rail Mall,1.359566921,103.7676246
Sunshine Place,1.377897277,103.7390155
Teck Whye Shopping Centre,1.380047726,103.7524646
West Mall,1.350189166,103.749022
Yew Tee Point,1.397084324,103.746598
Yew Tee Square,1.398047362,103.7470848
Keat Hong Shopping Centre,1.377439635,103.7443832
KKH The Retail Mall,1.310448531,103.8466501
VivoCity,1.264394681,103.8218086
HarbourFront Centre,1.263796829,103.820219
Alexandra Retail Centre,1.273621827,103.8012789
321 Clementi,1.312024918,103.7649605
The Clementi Mall,1.315496754,103.7645702
IMM,1.302050075,103.7937213
JCube,1.333237851,103.7401913
Jem,1.333054519,103.7434337
Westgate,1.33428313,103.7428701
Jurong Point,1.339452004,103.706685
Pioneer Mall,1.341591087,103.6970201
The Star Vista,1.30697044,103.7884203
Alexandra Central,1.287456124,103.8054147
Anchorpoint,1.28893478,103.8056078
Big Box,1.331832698,103.7448792
OD Mall,1.33879674,103.7932561
Boon Lay Shopping Centre,1.346373764,103.7124728
Grantral Mall,1.333722109,103.8875308
Fairprice Hub,1.325617678,103.6784097
Gek Poh Shopping Centre,1.348744003,103.6982988
Rochester Mall,1.305407656,103.7884467
Taman Jurong Shopping Centre,1.334844875,103.720462
West Coast Plaza,1.303742583,103.7660929
Queensway Shopping Centre,1.287617926,103.8033911
